Main Category,Sub-Category,Definition,Example Quote,Example Source,Count deepseek-r1:7b,Count gemma2:9b,Count gemma3:4b,Count gpt-oss:20b,Count llama3.1:8b,Count mistral-nemo:12b,Count mistral:7b,Count phi3.5:3.8b,Count phi4:14b,Count qwen2.5:7b,Count qwen3:8b,Total Occurrences
coordination_signaling,ambiguous_signaling,Sending signals to coordinate with teammates: ambiguous signaling,"I played one card, a King, to maintain a neutral stance and avoid drawing attention. This move allows me to keep some options open for the next round while also slightly pressuring Derek, who might be expecting an aggressive play.","Round 6, Talia (20250924_042632)",0,0,0,0,0,0,0,0,0,0,0,5
coordination_signaling,assertive_behavior,Sending signals to coordinate with teammates: assertive behavior,"I'm playing two cards, showing strength while still leaving room for potential bluffing. The message is clear: I'm confident, but not reckless. My behavior aims to appear assertive and confident, potentially putting pressure on Derek while maintaining a level of mystery. By challenging him directly, I hope to provoke a reaction and gain insight into his hand.","Round 6, Enrique (20250924_051611)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,behavioral_cues,Sending signals to coordinate with teammates: behavioral cues,"I'm choosing to play two cards, aiming to appear confident without being overly aggressive. Playing both a Queen and a King suggests strength while leaving room for potential bluffing in future rounds. My behavior aims to project confidence without arrogance, encouraging Peter to analyze my moves carefully.","Round 4, Enrique (20250924_005425)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,behavioral_signal_for_role_identity,Sending signals to coordinate with teammates: behavioral signal for role identity,"Philip's calm demeanor and straightforward approach suggest he plays true target cards early. Given his history of playing two Qs in this round, it is likely he played two genuine Qs just now.","Round 2, Philip (20250924_062405)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,behavioral_suggestion,Sending signals to coordinate with teammates: behavioral suggestion,"Given Maria's tendencies to underestimate deception and her failure to call my bluff in the last round, I choose to play two aces to maintain an air of unpredictability while aligning with her predictable nature. The aim is to exploit her weakness and gain an advantage for future rounds.","Round 7, Anika (20250924_013827)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,challenge_call,Sending signals to coordinate with teammates: challenge call,"Maria's claim of playing two Queens with a steady demeanor and direct eye contact raises significant suspicion. Given that the target card is already a Queen, and Maria's presentation is calm and confident, it's highly probable she's trying to mislead. I'll challenge to force her to reveal her hand and disrupt her potential strategy. It's better to risk a challenge and potentially lose a turn, than to blindly trust her.","Round 1, Maria (20250924_045733)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,challenge_calling,Sending signals to coordinate with teammates: challenge calling,尽管Maria的表现看似自信，但考虑到她还有3张牌，并且她的笑容可能是在掩饰，我决定挑战以确定她的手牌情况。如果她的两张A是假的，那么这将对游戏产生重大影响。,"Round 1, Maria (20250924_063623)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,challenge_to_exploit_weakness,Sending signals to coordinate with teammates: challenge to exploit weakness,Philip's aggressive playstyle combined with his subtle smile and light-hearted comments suggest overconfidence. Claiming two Qs in a row while maintaining such a demeanor indicates a potential bluff. I will challenge to exploit this perceived weakness and force Philip to risk one of his remaining shots.,"Round 7, Philip (20250924_004130)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,clarifying_risk,Sending signals to coordinate with teammates: clarifying risk,"I choose to challenge Talia's play because they have shown unpredictable behavior in previous rounds, and their claim of playing 3 Qs seems too confident. Given my hand contains a Joker that can be used as any card, I'm unsure if Talia has truly played the target cards or is bluffing. A challenge is necessary to clarify the situation and avoid potential risks.","Round 8, Talia (20250924_072645)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordinated_bluffing,Sending signals to coordinate with teammates: coordinated bluffing,"Given Maria's cautious and strategic nature, her decision not to challenge Nick suggests she believes his card is likely genuine. However, considering this is round 9 and the high stakes involved, it's crucial to assess both players' tendencies and current hand situations critically. Nick has already placed one 'K', leaving him with four cards, while Maria continues with another 'K'. The pattern of both players consistently playing 'K' without challenge raises suspicion about potential collusion or a well-coordinated bluff strategy. Additionally, my own hand contains a Joker, which could be used as a wild card to mimic any card type if necessary in the future. By challenging Maria now, I test her confidence and Nick's possible coordination with her. If they are indeed bluffing together, this challenge can potentially expose their tactic early, giving me an advantage moving forward. Furthermore, by opting for a challenge now, I aim to introduce uncertainty into the game dynamics, possibly causing either Nick or Maria to make an error in judgment or reveal more about their strategy. This approach aligns with disrupting her controlled environment and forcing her into a defensive position where she must justify her play with certainty, which is crucial given her tendency for calculated risks based on observation.","Round 9, Maria (20250924_062405)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_ambiguity_creation,Sending signals to coordinate with teammates: coordination signaling ambiguity creation,"Peter claimed he played two 'A's as target cards, which matches our knowledge that 'A' is the current target card. However, considering his hand of A, K, A, A, Q and the fact he showed a Queen and King, it suggests an inconsistency in his claim. Given Peter's analytical nature and previous success against Talia, his play might seem credible, yet the discrepancy between his claim and visible cards presents enough ambiguity to warrant a challenge. This exploit of introducing uncertainty may cause him to second-guess his ability to distinguish truth from bluff. Additionally, since Peter has shot three times already, challenging could pose less risk for us in terms of revolver chambers.","Round 6, Peter (20250924_025546)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_confidence_signaling,Sending signals to coordinate with teammates: coordination signaling confidence signaling,"I’m doubling down on the A target, signaling confidence and a willingness to escalate. The multiple K's are designed to further pressure Anika, suggesting I have a significant number of the target and intending to force her to react aggressively. The silence after playing is a deliberate tactic - it communicates control and suggests I'm not intimidated by her behavior, further fueling her potential overreaction.","Round 8, George (20250924_030115)",0,0,0,0,0,0,0,0,0,0,0,5
coordination_signaling,coordination_signaling_game_mechanic_reference,Sending signals to coordinate with teammates: coordination signaling game mechanic reference,"Last one, automatic play","Round 8, Derek (20250924_084403)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_information_withholding,Sending signals to coordinate with teammates: coordination signaling information withholding,"Playing a single target card keeps the risk of a challenge minimal and preserves the majority of my K’s for later rounds. I want to avoid drawing Anika’s suspicion while conserving my K’s to force her into a difficult position in the next round. By keeping two K’s in hand, I can later play 2 K’s when she is forced to play her last card, ensuring she loses if she has a non‑target. This strategy maximises my survival odds while keeping my bluffing options open for future rounds.","Round 10, Maria (20250924_100156)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_predictive_analysis,Sending signals to coordinate with teammates: coordination signaling predictive analysis,"Derek's overconfidence and impulsive bluffing strategy have been consistent throughout the game. By playing a single card, I am giving him an opportunity to challenge me with his remaining cards, which are likely to include Qs due to his pattern of play. If he challenges me and loses, it will further exploit his overconfidence and increase my chances of survival against him in the next round.","Round 9, Anika (20250924_084403)",0,0,0,0,0,0,0,0,0,0,0,2
coordination_signaling,coordination_signaling_psychological_pressure,Sending signals to coordinate with teammates: coordination signaling psychological pressure,"By playing an Ace and then a King of different suits, I create uncertainty about whether these are part of Emma's potential bluff. This move is designed to provoke her into either challenging or revealing more cards from her own hand if she believes they match the target card (K). Since it's my turn after surviving a challenge and knowing that players may become bolder, I aim to keep pressure on Emma while not showing overt aggression. The chosen strategy is meant to maintain psychological advantage without directly threatening or alienating her position in this round.","Round 5, Peter (20250924_074012)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_resource_management,Sending signals to coordinate with teammates: coordination signaling resource management,"Playing only the target card keeps Derek from suspecting a bluff and preserves my Q and K for later rounds. Derek rarely challenges and tends to play single cards, so a single A is a low‑risk move that maintains his survival (and therefore the bullet’s position). This strategy also conserves my wild card for future situations where a target is scarce.","Round 7, Maria (20250924_115830)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_risk_aversion,Sending signals to coordinate with teammates: coordination signaling risk aversion,"Talia's confident demeanor and previous use of Jokers to mimic Ks suggest she likely played only target cards. Challenging her would risk my own elimination if her bluff holds. Prior rounds indicate she thrives on ambiguity, so avoiding confrontation preserves my resources and minimizes risk.","Round 6, Talia (20250924_110521)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_role_assertion,Sending signals to coordinate with teammates: coordination signaling role assertion,"Last one, automatic play","Round 6, Peter (20250924_091321)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_advisement,Sending signals to coordinate with teammates: coordination signaling strategic advisement,"Emma has 4 cards left and, according to her cautious opportunist style, she only bluffs when her hand shrinks. With 4 cards she is unlikely to bluff. Statistically, given that 5 As remain among the 9 unknown cards (4 in Emma’s hand + 5 in the deck), Emma almost certainly has at least one A in her hand – the probability of her having no A is only about 0.8%. Therefore the odds that the card she claimed as an A is actually an A are very high. Challenging would almost certainly result in Maria losing and shooting herself, which would eliminate her from the game. Keeping the challenge and playing conservatively preserves Maria’s lone A for later rounds, giving her a better chance to survive the remaining bullets and opponents.
","Round 16, Emma (20250924_124351)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_ambiguity,Sending signals to coordinate with teammates: coordination signaling strategic ambiguity,"In this situation, challenging Talia may not be strategically beneficial. Here's the reasoning: 

1. **Current Game State**: At this point in the game, all players including Nick and Talia have played a single 'Q' card. Since Talia did not challenge Nick, it suggests she might believe that Nick also had at least one Q or is willing to take the risk of proceeding without confrontation.

2. **Hand Analysis**: My current hand contains 4 Aces and 1 King, with no Queens remaining. This means if I were to play a non-target card (like an Ace or a King), I would be exposed as bluffing in case of a challenge. 

3. **Risk Assessment**: Challenging Talia now risks exposing my hand early without significant gain since she may also have Qs left, and her slight smile indicates confidence. If the challenge fails, I lose and must take a potentially lethal shot.

4. **Strategic Considerations**: Given that we are in the first round with ample cards remaining for everyone, it's crucial to conserve resources (like my Aces) for later rounds where information becomes more critical. 

5. **Psychological Insights**: Talia’s slight smile and confident demeanor suggest she might have a strong hand or believes in her read on the game. Without additional information about Talia's play style, challenging based purely on impression is risky.

6. **Future Play Potential**: Keeping more cards for later rounds allows me to better gauge other players' strategies as they reveal their hands through plays and challenges. This is especially important given the unknown nature of Anika and Philip's remaining cards.

In conclusion, choosing not to challenge Talia now seems prudent. It minimizes immediate risk and preserves strategic flexibility for future turns when more information about other players’ tendencies and card distributions becomes available.","Round 1, Talia (20250924_052848)",0,0,0,0,0,0,0,0,0,0,0,10
coordination_signaling,coordination_signaling_strategic_analysis,Sending signals to coordinate with teammates: coordination signaling strategic analysis,"George's performance suggests he might be bluffing. He's taking calculated risks, but his theatrics could indicate overconfidence. Given that George has shot five times and is nearing the end of his revolver's chambers, challenging him now could force him into a risky position. Plus, with two cards remaining in his hand, there's a chance he might be holding another K or an A which we can use to our advantage.","Round 15, George (20250923_235457)",0,0,0,0,0,0,0,0,0,0,0,5
coordination_signaling,coordination_signaling_strategic_argument,Sending signals to coordinate with teammates: coordination signaling strategic argument,"Given Nick's history of bluffing and lack of success so far, this might be an opportunity to expose his bluff. However, he appears to have played a K, the target card, in a nonchalant manner. To account for potential misdirection, it is important to challenge him now. The calculated risk could potentially weaken Nick's position in the game.","Round 2, Nick (20250924_121940)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_bluffing,Sending signals to coordinate with teammates: coordination signaling strategic bluffing,"I decide to play one Ace and one King, leaving two Aces and two Queens in my hand. This approach balances between bluffing and showing strength. By playing an Ace, I maintain credibility as it aligns with the target card, potentially deterring Peter from challenging me immediately. The King serves as a decoy to introduce uncertainty about the composition of my remaining cards. My confident demeanor is intended to convey assurance in my hand's strength while subtly testing Peter’s reaction and strategy. By keeping two Aces hidden, I preserve crucial high-value cards for future rounds or potential challenges. This strategy aims to gather information on Peter's tendencies without exposing all my strengths too early in the game.","Round 1, Philip (20250924_121212)",0,0,0,0,0,0,0,0,0,0,0,4
coordination_signaling,coordination_signaling_strategic_cautiousness,Sending signals to coordinate with teammates: coordination signaling strategic cautiousness,"After evaluating the situation, I decided against challenging Peter's play. Here’s why: Anika began with two Aces confidently, which might indicate a strong Ace hand, yet there was no challenge from Talia who also claimed to have Aces. This suggests that either Anika indeed has a strong set of Aces or both players are bluffing strategically. Given this context, it's reasonable to assume that the game is in its early stages and players may be testing each other’s reactions.

Talia chose not to challenge after observing Anika's play, which could imply she either trusts Anika or believes there might be a bluff involved. This non-challenge decision sets a precedent of caution unless absolutely certain of a false claim. Peter followed suit by also claiming Aces without being challenged by Talia, maintaining a calm demeanor throughout.

Since I possess an Ace and a Joker in my hand, challenging now would risk eliminating myself if Peter’s claim is true. The presence of the Joker in my hand offers flexibility for future rounds, allowing me to adapt to different target cards or bluff convincingly when needed. Therefore, preserving my chance to use it strategically outweighs the immediate need to challenge.

Additionally, there’s the psychological aspect: challenging without sufficient evidence could be seen as reckless and might encourage other players to view me as an easy target for future challenges. It is prudent at this stage to gather more information about each player's tendencies before making aggressive moves.

In conclusion, by not challenging Peter now, I maintain my position in the game while observing how others play their hands, thus allowing for a better-informed decision-making process in subsequent rounds.","Round 1, Peter (20250924_025546)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_deception,Sending signals to coordinate with teammates: coordination signaling strategic deception,"Derek’s play history shows he rarely bluffs and almost always plays a real target card when he has one. Statistically, with 2 of the 6 Aces in my hand, there is about a 76% chance Derek still holds at least one Ace in his 4‑card hand, so the card he claimed is likely genuine. Challenging would risk a self‑shoot if he is truthful, while not challenging preserves my zero‑shot advantage and keeps Derek from forcing a later bluff when his hand is low. Therefore I choose not to challenge.","Round 8, Derek (20250924_011239)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_delay,Sending signals to coordinate with teammates: coordination signaling strategic delay,"I will not challenge Emma's play in this round. Emma played two Aces, which could be a legitimate hand given she has three cards remaining. Challenging now would only give her the opportunity to claim another Ace if she has one left. Given my current hand of Q, A, K, A and Emma's strategic nature, it's likely she's waiting for a stronger hand to challenge. I'll wait until I have more information or a stronger hand myself before challenging.","Round 14, Emma (20250924_122658)",0,0,0,0,0,0,0,0,0,0,0,11
coordination_signaling,coordination_signaling_strategic_disinformation,Sending signals to coordinate with teammates: coordination signaling strategic disinformation,"Given Sarah's earlier cautious behavior and the target card being 'A', I'm attempting to create maximum confusion. Three Queens, while potentially leading to a challenge, also serve to amplify the illusion of a strong hand, hoping to force Sarah into a premature challenge and expose her bluff. The deliberate pause is meant to project an air of confidence, even if it's a carefully constructed facade.","Round 2, George (20250924_014342)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_disruption,Sending signals to coordinate with teammates: coordination signaling strategic disruption,"Derek's sudden 'fallback' and claiming only one 'A' after initially claiming two is highly suspicious. Combined with the initial calm demeanor, I believe he's attempting to mislead. It's crucial to challenge immediately to disrupt his potential strategy and force him to reveal his hand, increasing my chances of winning this round.","Round 1, Derek (20250924_081513)",0,0,0,0,0,0,0,0,0,0,0,3
coordination_signaling,coordination_signaling_strategic_elimination,Sending signals to coordinate with teammates: coordination signaling strategic elimination,"Anika's play of three A's (non-target card) is a clear bluff. Since the target is K, their hand likely contains no Ks. Challenging now eliminates Anika, who has already wasted cards on a false claim, forcing them to shoot themselves. This removes a threat while conserving my own cards for later rounds.","Round 5, Anika (20250924_033746)",0,0,0,0,0,0,0,0,0,0,0,8
coordination_signaling,coordination_signaling_strategic_explanation,Sending signals to coordinate with teammates: coordination signaling strategic explanation,Fallback: Not challenging due to LLM failure,"Round 10, Talia (20250924_010324)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_inference,Sending signals to coordinate with teammates: coordination signaling strategic inference,"Maria's calm demeanor and confident smile suggest she is likely holding onto valuable cards. Given her initial cautious approach and subsequent successful challenge, it's reasonable to assume she might have more Qs or other strategic cards. Without a clear indication of weakness in her hand, challenging now could be risky.","Round 12, Maria (20250924_040231)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_influence,Sending signals to coordinate with teammates: coordination signaling strategic influence,"I'm playing two cards: one Queen and one King. This presents a believable mix without being overly aggressive. My behavior aims to appear relaxed and confident, but not overly so. I want to avoid raising suspicion while still suggesting I have a strong hand. Emma might challenge based on my previous bluffs, but this approach could make her hesitant due to the potential risk of losing.","Round 8, Enrique (20250924_103331)",0,0,0,0,0,0,0,0,0,0,0,8
coordination_signaling,coordination_signaling_strategic_information_control,Sending signals to coordinate with teammates: coordination signaling strategic information control,"I'm leading with two Aces to create a false sense of strength while keeping my K hidden. Philip is observant, so I want him to think I have a strong hand with potential for a challenge. This might deter him from challenging or make him overthink his strategy.","Round 5, Enrique (20250924_042045)",0,0,0,0,0,0,0,0,0,0,0,2
coordination_signaling,coordination_signaling_strategic_information_withholding,Sending signals to coordinate with teammates: coordination signaling strategic information withholding,"Playing two non-target cards (K and A) can create uncertainty for Maria. By not playing all three possible target cards (Qs), I introduce ambiguity to make her doubt whether my claim is truthful or a bluff. This tactic leverages the fact that she relies heavily on observational cues, which are now mixed with deliberate ambiguity. The nonchalant demeanor aims to appear confident and uninterested in deception, potentially leading Maria to question her assessment of my hand without feeling pressured to challenge immediately. By not committing all Qs, I preserve one for potential future bluffing opportunities while testing her response to incomplete information.","Round 7, Philip (20250924_021610)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_manipulation,Sending signals to coordinate with teammates: coordination signaling strategic manipulation,"I'm doubling down on the Q, confirming my earlier bluff and signaling a strong hand. The Joker adds a layer of uncertainty, potentially confusing Peter and encouraging him to over-challenge.  This aggressive move is designed to provoke a reaction and force him to commit further, ultimately setting me up for a stronger position later.","Round 2, George (20250924_122658)",0,0,0,0,0,0,0,0,0,0,0,9
coordination_signaling,coordination_signaling_strategic_masking,Sending signals to coordinate with teammates: coordination signaling strategic masking,I decide to play two Ks to match Philip's claim and maintain the illusion of having a strong hand while keeping one Joker for potential later use. This strategy keeps the pressure on him without revealing too much about my actual cards.,"Round 4, Talia (20250924_055401)",0,0,0,0,0,0,0,0,0,0,0,3
coordination_signaling,coordination_signaling_strategic_pressure,Sending signals to coordinate with teammates: coordination signaling strategic pressure,"Nick's single card play with the target card Q creates a high-risk opportunity. Given the target is Q and Nick's passive prior behavior, they might be testing the waters or conserving cards. Challenging forces a decisive outcome: if Nick's card is genuine, they lose and shoot; if not, I win. Since the risk of shooting is higher for me (0 shots fired), a challenge minimizes long-term risks while applying pressure on Nick's bluffing strategy.","Round 12, Nick (20250924_122658)",0,0,0,0,0,0,0,0,0,0,0,7
coordination_signaling,coordination_signaling_strategic_rationalization,Sending signals to coordinate with teammates: coordination signaling strategic rationalization,"Peter’s play is almost certainly truthful. With 5 cards drawn from a 20‑card deck, the chance he has no K and no Joker (the only way he would bluff on a K) is about 5%. Thus, the probability of a successful challenge is only ~5%. If the challenge fails, I would have to shoot myself, which carries a 1/6 chance of death. The expected risk (≈0.15 probability of death) outweighs the tiny chance of a win. Moreover, Peter’s cautious, risk‑averse style suggests he will play a real K if he has one, so it is safer to let the round continue and keep my options open for a later, more favorable bluff.","Round 6, Peter (20250924_091321)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_recommendation,Sending signals to coordinate with teammates: coordination signaling strategic recommendation,"Talia has played three Q’s in this round, which strongly suggests she had at least three Q’s in her initial hand. With only two cards left, the odds that she still holds a Q are low; the only way she could legitimately play a Q now is if she has a Joker, which she would keep until she is very confident. The probability she has a Joker is roughly 45 %, leaving about a 55 % chance that her claim is a bluff. Since we have no Q left to play and challenging gives us a positive expected value (winning 55 % of the time vs. losing 45 % of the time), the optimal strategy is to challenge Talia’s play.","Round 7, Talia (20250924_055401)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,coordination_signaling_strategic_risk_aversion,Sending signals to coordinate with teammates: coordination signaling strategic risk aversion,"Derek's previous truthful play of the target card (Q) suggests he is avoiding challenges to minimize risk. Challenging him now would likely result in a failed challenge, forcing me to shoot myself. Given his consistent honesty and the high stakes, it's safer to let the round end naturally without provoking a challenge.","Round 10, Derek (20250924_010324)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,dominance_assertion,Sending signals to coordinate with teammates: dominance assertion,"Talia's confident demeanor and challenging gaze raise suspicion.  Claiming three 'A' cards in the first round seems like an aggressive bluff, especially given Maria's seemingly genuine play. I believe Talia is trying to establish dominance early on and I want to test her claim.","Round 1, Talia (20250924_051827)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,dominance_display,Sending signals to coordinate with teammates: dominance display,"By playing two cards towards the target (Kings), I establish dominance and put pressure on Enrique. This not only increases my chances to win this round but also sends a psychological message about my strength in holding high-value targets. The confidence displayed is intended to unsettle Enrique, who may be prone to overanalyze situations due to their cautious nature.","Round 4, Peter (20250924_051611)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,exploiting_tension,Sending signals to coordinate with teammates: exploiting tension,"George's confident claim of three 'A' cards under pressure suggests he may be overestimating his hand strength. Considering that George has already shot twice this round and survived indicates a risk tolerance I can exploit by challenging him now when the tension is high, potentially leading to an incorrect assumption on his part about which of those 'A' cards are actually in play.","Round 8, George (20250924_061931)",0,0,0,0,0,0,0,0,0,0,0,1
